Actual Credit Score,Predicted Credit Score,Actual Creditworthiness,Predicted Creditworthiness
793,775.175739947905,Good,Good
629,655.7024819763805,Bad,Bad
649,612.3543427920815,Bad,Bad
553,548.8085524479048,Bad,Bad
468,497.9828481113591,Bad,Bad
828,862.175251666655,Good,Good
552,550.5243727604048,Bad,Bad
472,485.4871739780583,Bad,Bad
753,667.1386220073072,Good,Bad
527,540.3343613777361,Bad,Bad
719,674.8964884048326,Good,Bad
729,690.5927321354048,Good,Bad
837,859.720661822905,Good,Good
498,587.6274001041548,Bad,Bad
806,760.9249872030443,Good,Good
753,734.6397659845854,Good,Good
829,812.7806574236107,Good,Good
597,571.7846266666548,Bad,Bad
610,624.4701735416548,Bad,Bad
820,817.7717560145373,Good,Good
533,494.5346059238591,Bad,Bad
643,547.5360182730224,Bad,Bad
571,631.8400411857742,Bad,Bad
674,766.4587658386115,Bad,Good
531,568.7219251960885,Bad,Bad
660,660.1526929092773,Bad,Bad
798,729.9716383854048,Good,Good
684,643.8275954166548,Bad,Bad
630,625.0561110416548,Bad,Bad
791,806.633747760405,Good,Good
827,803.522419635405,Good,Good
664,717.3651930729048,Bad,Good
796,762.418415729155,Good,Good
596,523.8568922916548,Bad,Bad
624,622.7094313541548,Bad,Bad
491,435.4974965488591,Bad,Bad
766,742.7196852604048,Good,Good
538,542.5775954166548,Bad,Bad
492,442.54661083868643,Bad,Bad
725,806.2829761664625,Good,Good
659,689.3310657747083,Bad,Bad
624,621.8327555198056,Bad,Bad
498,530.4965199863591,Bad,Bad
508,536.3329665104048,Bad,Bad
467,543.5644118229048,Bad,Bad
694,652.7074782291548,Bad,Bad
772,750.529743854155,Good,Good
741,713.3754469791548,Good,Good
509,552.9342628085648,Bad,Bad
579,640.185872917115,Bad,Bad
660,576.066212000423,Bad,Bad
825,843.5607850520572,Good,Good
692,623.2080299671613,Bad,Bad
593,597.0609938541548,Bad,Bad
658,692.3862776586569,Bad,Bad
519,544.6210317051091,Bad,Bad
723,731.6035936524175,Good,Good
639,699.7077594134158,Bad,Bad
822,734.3280207048607,Good,Good
418,478.6522817051091,Bad,Bad
569,563.8649478417212,Bad,Bad
517,541.1552321354048,Bad,Bad
512,525.8095290104048,Bad,Bad
719,686.6991774479048,Good,Bad
388,393.37836491922377,Bad,Bad
454,498.5590407291549,Bad,Bad
568,567.9146850531009,Bad,Bad
494,494.6820668613591,Bad,Bad
537,574.3945089027429,Bad,Bad
661,679.2724196354048,Bad,Bad
511,563.5429274479048,Bad,Bad
777,752.214796750441,Good,Good
465,498.9228102604049,Bad,Bad
814,784.0272049997045,Good,Good
541,524.2499379551091,Bad,Bad
820,837.3608213177454,Good,Good
794,767.148884479155,Good,Good
726,721.8203645135303,Good,Good
675,682.6204655511826,Bad,Bad
662,679.996752348527,Bad,Bad
515,576.4520863926091,Bad,Bad
793,772.4109601714226,Good,Good
500,494.778094446444,Bad,Bad
404,459.6334357596663,Bad,Bad
549,510.5971059238591,Bad,Bad
542,537.2865590488591,Bad,Bad
578,568.9836098711797,Bad,Bad
705,696.7436328892356,Good,Bad
552,534.2138258854048,Bad,Bad
552,534.6728102604048,Bad,Bad
726,696.4183984086968,Good,Bad
563,554.8266663754666,Bad,Bad
789,734.0346266666548,Good,Good
479,431.37056054531627,Bad,Bad
490,478.2274770176091,Bad,Bad
672,699.6271594670274,Bad,Bad
541,575.1329180630972,Bad,Bad
398,554.0702711979048,Bad,Bad
497,566.4953934070154,Bad,Bad
693,720.7989440136038,Bad,Good
524,538.6571852604048,Bad,Bad
752,679.0854079166548,Good,Bad
524,544.8798415104048,Bad,Bad
532,556.9462477604048,Bad,Bad
686,690.3807500071123,Bad,Bad
563,555.6952504551091,Bad,Bad
822,801.524861041655,Good,Good
825,776.176228229155,Good,Good
821,771.608845416655,Good,Good
792,811.660603229155,Good,Good
494,527.0995680729048,Bad,Bad
672,672.5495069225343,Bad,Bad
747,785.926228229155,Good,Good
554,605.648233396397,Bad,Bad
679,698.4381689656454,Bad,Bad
683,718.5214430729048,Bad,Good
553,569.2895521899571,Bad,Bad
513,532.9203911656489,Bad,Bad
522,567.0229046979796,Bad,Bad
521,573.2240797916548,Bad,Bad
628,625.3670178805879,Bad,Bad
639,649.5729692305717,Bad,Bad
709,685.1859938541548,Good,Bad
810,766.276325885405,Good,Good
524,553.6630446354048,Bad,Bad
509,492.5898024479049,Bad,Bad
671,696.3456618229048,Bad,Bad
458,474.7160679820712,Bad,Bad
613,617.9984938541548,Bad,Bad
744,794.9216701815582,Good,Good
478,527.4423207676091,Bad,Bad
639,635.0880477436095,Bad,Bad
820,762.4551532320434,Good,Good
689,641.3988955950659,Bad,Bad
799,778.8352064460885,Good,Good
784,747.4637112334952,Good,Good
434,498.8920485416549,Bad,Bad
787,817.585639032359,Good,Good
537,471.21633204732433,Bad,Bad
433,511.4813832676091,Bad,Bad
730,729.392738265079,Good,Good
512,476.6317946354049,Bad,Bad
836,876.0944854136449,Good,Good
802,732.1444899479048,Good,Good
805,772.069782916655,Good,Good
549,585.3059680943838,Bad,Bad
695,662.0466273334938,Bad,Bad
803,848.222126666655,Good,Good
814,765.721150104155,Good,Good
524,546.2274977604048,Bad,Bad
482,474.4013258854049,Bad,Bad
622,601.7772441856865,Bad,Bad
464,481.6982008854049,Bad,Bad
790,751.970700170738,Good,Good
632,641.2131766830793,Bad,Bad
597,599.9472035801091,Bad,Bad
607,628.1997096047045,Bad,Bad
700,675.2137371744013,Good,Bad
816,801.3399562093681,Good,Good
666,604.5995680729048,Bad,Bad
613,693.1874586979048,Bad,Bad
827,808.225056354155,Good,Good
463,421.9488032942862,Bad,Bad
822,811.2829353202974,Good,Good
524,545.3271071354048,Bad,Bad
529,589.5116774479048,Bad,Bad
503,526.3399794882201,Bad,Bad
797,784.419880572905,Good,Good
647,593.6342353690051,Bad,Bad
524,556.0243727604048,Bad,Bad
808,808.6206997419042,Good,Good
703,698.9106032291548,Good,Bad
432,430.2414105444196,Bad,Bad
829,1070.606404010405,Good,Good
606,617.1578639563536,Bad,Bad
483,502.5536488926091,Bad,Bad
628,588.9320876041548,Bad,Bad
411,536.5160719791548,Bad,Bad
684,545.9911066423607,Bad,Bad
492,541.9325551426091,Bad,Bad
524,526.6732745801837,Bad,Bad
705,753.1638197273385,Good,Good
612,518.9315993229048,Bad,Bad
395,525.0780629551091,Bad,Bad
526,407.2227804052475,Bad,Bad
679,691.4858965392316,Bad,Bad
614,585.5607923835885,Bad,Bad
791,788.2187344226842,Good,Good
502,537.0653883854048,Bad,Bad
478,540.7704923063546,Bad,Bad
464,609.8236859479796,Bad,Bad
555,414.5142737297155,Bad,Bad
625,591.7263516133805,Bad,Bad
771,765.2476075900973,Good,Good
442,476.1293532291549,Bad,Bad
724,665.1166371738591,Good,Bad
552,532.3661696354048,Bad,Bad
524,547.3564040104048,Bad,Bad
481,475.2442494852442,Bad,Bad
524,538.2040602604048,Bad,Bad
512,542.7763258854048,Bad,Bad
533,547.1957594791548,Bad,Bad
461,530.2777875104796,Bad,Bad
472,478.5199782291549,Bad,Bad
787,822.448200885405,Good,Good
548,611.5710612201141,Bad,Bad
640,644.2880262662329,Bad,Bad
603,593.5031314737278,Bad,Bad
550,549.781328983089,Bad,Bad
702,629.1620680729048,Good,Bad
825,799.716755572905,Good,Good
626,590.0902907291548,Bad,Bad
462,530.7616144548607,Bad,Bad
771,705.387463438018,Good,Good
725,657.2087416023385,Good,Bad
561,556.3505238926091,Bad,Bad
559,553.2523968854796,Bad,Bad
731,715.0097027816377,Good,Good
678,718.8325977648457,Bad,Good
648,616.9423434448956,Bad,Bad
518,491.3602926658437,Bad,Bad
548,543.4555206687321,Bad,Bad
506,582.3710524479048,Bad,Bad
790,806.5778319005356,Good,Good
545,481.04433208701585,Bad,Bad
503,496.0648968854796,Bad,Bad
616,602.5157736683466,Bad,Bad
583,579.6913617292296,Bad,Bad
447,492.4164418613591,Bad,Bad
787,757.663044635405,Good,Good
462,487.4993815250998,Bad,Bad
497,512.5224196354048,Bad,Bad
530,574.8206738097595,Bad,Bad
477,505.19764639243533,Bad,Bad
693,695.4428297916548,Bad,Bad
434,515.199179645701,Bad,Bad
802,753.9911779988486,Good,Good
635,643.1720150966488,Bad,Bad
534,509.1358022129216,Bad,Bad
760,723.2279231566177,Good,Good
479,496.1708571354049,Bad,Bad
819,772.1488214861107,Good,Good
803,777.917439166655,Good,Good
584,597.4954484281267,Bad,Bad
740,725.3129662901147,Good,Good
532,589.3739821354048,Bad,Bad
423,460.6683917676838,Bad,Bad
581,554.2414034006753,Bad,Bad
721,677.3928633407097,Good,Bad
558,590.5578626960885,Bad,Bad
514,526.2761891459388,Bad,Bad
525,585.0219313541548,Bad,Bad
466,428.21165640445963,Bad,Bad
502,547.6381422916548,Bad,Bad
800,795.859333697905,Good,Good
557,597.1332387363591,Bad,Bad
787,786.3936808725891,Good,Good
629,687.5321852604048,Bad,Bad
573,524.7896013165464,Bad,Bad
639,635.5232467707805,Bad,Bad
419,437.9361702047268,Bad,Bad
570,534.2527916898151,Bad,Bad
561,551.9376317715775,Bad,Bad
534,530.1836505567462,Bad,Bad
531,518.4379262363591,Bad,Bad
556,573.1098921695626,Bad,Bad
636,658.0384120100739,Bad,Bad
660,664.7681081645914,Bad,Bad
705,683.6816994174816,Good,Bad
747,696.9862868229048,Good,Bad
796,783.487751666655,Good,Good
656,647.4735285173607,Bad,Bad
521,563.2152907291548,Bad,Bad
537,562.7973219791548,Bad,Bad
660,685.4906813541548,Bad,Bad
602,576.5848170414101,Bad,Bad
528,582.8143910801091,Bad,Bad
814,817.857998645652,Good,Good
523,536.1730970710885,Bad,Bad
802,670.0292555729048,Good,Bad
559,555.8222311804964,Bad,Bad
818,818.519978229155,Good,Good
524,514.6200758854048,Bad,Bad
520,601.8700519239337,Bad,Bad
495,508.3383376041549,Bad,Bad
577,560.398467059694,Bad,Bad
522,561.4393534960818,Bad,Bad
501,485.9442946354049,Bad,Bad
635,639.344973287836,Bad,Bad
722,772.5945471678284,Good,Good
515,551.0227260814648,Bad,Bad
486,512.8720290104048,Bad,Bad
729,771.6463173158928,Good,Good
633,709.5253985265017,Bad,Good
822,763.154255572905,Good,Good
528,528.7450813526008,Bad,Bad
797,837.5770441423607,Good,Good
801,754.519489947905,Good,Good
526,554.1269118229048,Bad,Bad
626,620.3612660801091,Bad,Bad
528,571.1820876041548,Bad,Bad
609,625.7411978271116,Bad,Bad
517,614.5598825027728,Bad,Bad
656,616.4840199888282,Bad,Bad
506,489.2756938805943,Bad,Bad
555,504.1552776045169,Bad,Bad
644,633.6224372470659,Bad,Bad
578,482.7905773055802,Bad,Bad
722,711.9799391666548,Good,Good
690,693.2377516666548,Bad,Bad
735,733.5707192992977,Good,Good
634,621.8397885504204,Bad,Bad
679,648.3610905874099,Bad,Bad
781,756.551228229155,Good,Good
537,534.7909743229048,Bad,Bad
524,555.6278883854048,Bad,Bad
762,682.0424391666548,Good,Bad
557,571.8712965497597,Bad,Bad
721,689.4213736175514,Good,Bad
538,525.9086293613591,Bad,Bad
479,463.1220290104049,Bad,Bad
587,608.1230055729048,Bad,Bad
559,635.5160719791548,Bad,Bad
571,577.8625543474711,Bad,Bad
468,509.3588421979796,Bad,Bad
825,826.8153380931034,Good,Good
693,709.1305270652265,Bad,Good
593,553.7052295778091,Bad,Bad
618,628.4115753994434,Bad,Bad
803,759.366169635405,Good,Good
352,455.5107008854049,Bad,Bad
809,847.598103229155,Good,Good
610,576.6840407291548,Bad,Bad
459,501.5897992292296,Bad,Bad
708,650.8329665104048,Good,Bad
439,528.8490590488591,Bad,Bad
630,597.2747648536456,Bad,Bad
596,641.6215197020148,Bad,Bad
579,608.525383335832,Bad,Bad
431,402.2343097364338,Bad,Bad
796,798.1729008597424,Good,Good
764,758.1497579544952,Good,Good
496,516.7641188541548,Bad,Bad
730,743.2797438541548,Good,Good
821,800.7484731113591,Good,Good
548,574.7870680729048,Bad,Bad
770,751.366169635405,Good,Good
699,821.0648489755797,Bad,Good
727,674.1181227604048,Good,Bad
665,734.4880912075054,Bad,Good
531,555.7111830085885,Bad,Bad
667,671.1713133017471,Bad,Bad
508,565.7167348301091,Bad,Bad
632,630.2177321354048,Bad,Bad
643,634.7746081208547,Bad,Bad
573,588.674433110788,Bad,Bad
557,593.1023873837889,Bad,Bad
641,638.6810902988591,Bad,Bad
504,517.0386247540464,Bad,Bad
800,807.355915729155,Good,Good
498,299.30297988358853,Bad,Bad
513,502.0146284477889,Bad,Bad
616,579.8363844791548,Bad,Bad
506,541.6689040104048,Bad,Bad
782,683.5067999574412,Good,Bad
669,609.5984016813724,Bad,Bad
626,591.8816043417759,Bad,Bad
527,606.3949574863591,Bad,Bad
764,757.8508992612736,Good,Good
763,764.895466510405,Good,Good
749,754.4230340780443,Good,Good
448,490.3354079166549,Bad,Bad
641,712.7595352751798,Bad,Good
524,537.4560133854048,Bad,Bad
643,667.9794508854048,Bad,Bad
562,555.3565169530301,Bad,Bad
705,667.2650954166548,Good,Bad
510,508.3954665104049,Bad,Bad
578,557.5988919394932,Bad,Bad
540,524.095005472865,Bad,Bad
735,727.9668738250182,Good,Good
564,545.7705744124503,Bad,Bad
456,610.7115065150011,Bad,Bad
492,439.159310117759,Bad,Bad
429,489.5570668613591,Bad,Bad
734,730.3284553114337,Good,Good
527,615.1299734904915,Bad,Bad
833,815.196736041655,Good,Good
509,541.8472753268919,Bad,Bad
469,572.4506422916548,Bad,Bad
481,491.1542555729049,Bad,Bad
658,638.476252239792,Bad,Bad
694,667.2469548631055,Bad,Bad
559,560.9816446534417,Bad,Bad
717,686.8835949824264,Good,Bad
696,633.9374586979048,Bad,Bad
542,559.5600172916548,Bad,Bad
607,576.5305883434863,Bad,Bad
824,784.567645227694,Good,Good
666,647.5170245801837,Bad,Bad
681,708.8884556396099,Bad,Good
505,564.6967360416548,Bad,Bad
561,489.7993962150845,Bad,Bad
604,641.1454035173607,Bad,Bad
552,530.4071852604048,Bad,Bad
517,532.9590349102964,Bad,Bad
381,407.87807784696884,Bad,Bad
810,715.9992773001437,Good,Good
597,658.4600643605738,Bad,Bad
725,654.9362268884604,Good,Bad
701,721.2449931284084,Good,Good
810,789.5315797238147,Good,Good
416,440.4847369712204,Bad,Bad
489,496.5795277988591,Bad,Bad
449,484.6229848301091,Bad,Bad
479,487.7450758854049,Bad,Bad
819,806.8786634773385,Good,Good
691,710.216419635303,Bad,Good
757,709.5497632136414,Good,Good
664,657.2133275682003,Bad,Bad
614,654.1846335658951,Bad,Bad
820,832.832647978303,Good,Good
486,469.6563238021856,Bad,Bad
818,807.775837604155,Good,Good
827,789.949177447905,Good,Good
818,787.361775104155,Good,Good
600,659.2211501041548,Bad,Bad
462,534.2035719791548,Bad,Bad
526,502.08606170243354,Bad,Bad
538,586.3670728788871,Bad,Bad
608,537.8402907291548,Bad,Bad
608,682.553937590183,Bad,Bad
384,436.38931594541623,Bad,Bad
592,537.0238637363591,Bad,Bad
832,832.6995172108839,Good,Good
547,504.16909223512073,Bad,Bad
508,544.9216008855635,Bad,Bad
636,657.3117895469477,Bad,Bad
607,607.0263226667296,Bad,Bad
571,608.2167555729048,Bad,Bad
778,789.275418354016,Good,Good
757,761.247517291655,Good,Good
524,554.7592360416548,Bad,Bad
551,587.526765121014,Bad,Bad
701,733.2055998388299,Good,Good
552,542.6747633854048,Bad,Bad
743,660.9198805729048,Good,Bad
734,698.5900671389464,Good,Bad
803,790.6698045354069,Good,Good
508,538.3739821354048,Bad,Bad
799,869.3965911771487,Good,Good
532,525.2479848301091,Bad,Bad
497,450.5985882917296,Bad,Bad
794,790.2562624964073,Good,Good
709,611.7401930729048,Good,Bad
631,671.6126322809293,Bad,Bad
601,558.3456410801091,Bad,Bad
601,581.3927275889412,Bad,Bad
550,557.9835828139387,Bad,Bad
470,501.8612868229049,Bad,Bad
583,565.3427321354048,Bad,Bad
832,795.671833697905,Good,Good
362,518.7252965201932,Bad,Bad
721,743.1824079175094,Good,Good
679,666.6340624994048,Bad,Bad
580,698.339916715174,Bad,Bad
769,783.0375978648301,Good,Good
639,666.597439331327,Bad,Bad
485,509.8998578229796,Bad,Bad
507,539.0614821354048,Bad,Bad
505,494.6288649479049,Bad,Bad
548,552.6098219791548,Bad,Bad
577,582.4220740676426,Bad,Bad
756,615.8417555729048,Good,Bad
535,580.9997572273385,Bad,Bad
487,443.1307941114338,Bad,Bad
720,720.7709547916548,Good,Good
523,562.7018880283513,Bad,Bad
688,693.1021950663334,Bad,Bad
579,568.2543532291548,Bad,Bad
593,587.1049391666548,Bad,Bad
624,626.6459547916548,Bad,Bad
632,575.9765211979048,Bad,Bad
706,701.5727126041548,Good,Good
569,689.4525954166548,Bad,Bad
784,795.567341510405,Good,Good
453,511.2339769410259,Bad,Bad
492,525.0888258854048,Bad,Bad
808,759.389910852694,Good,Good
465,539.0556227604048,Bad,Bad
791,790.5388578388813,Good,Good
460,541.9716383854048,Bad,Bad
609,596.4176354992168,Bad,Bad
588,584.0224196354048,Bad,Bad
734,720.0429274479048,Good,Good
529,570.7138051426091,Bad,Bad
787,759.051228229155,Good,Good
493,499.0653676426091,Bad,Bad
718,734.8477098056276,Good,Good
552,555.7528883854048,Bad,Bad
620,695.3032761221377,Bad,Bad
622,648.955340540194,Bad,Bad
660,582.6796461979048,Bad,Bad
517,540.4833571354048,Bad,Bad
494,485.657680919477,Bad,Bad
600,544.728936689385,Bad,Bad
408,483.95717301245065,Bad,Bad
621,661.1544789707341,Bad,Bad
461,497.0038617292296,Bad,Bad
770,709.2490303071518,Good,Good
445,533.3119464551837,Bad,Bad
820,741.9057204166548,Good,Good
746,661.5121657291548,Good,Bad
575,557.2279860416548,Bad,Bad
709,656.7191969791548,Good,Bad
797,773.2045436397857,Good,Good
696,713.8983961979048,Bad,Good
502,491.2421461979049,Bad,Bad
577,543.87052725451,Bad,Bad
835,822.809040729155,Good,Good
752,764.9824213605652,Good,Good
529,524.7733754551091,Bad,Bad
565,582.1415395176091,Bad,Bad
730,701.861664075728,Good,Good
588,611.3627516666548,Bad,Bad
702,629.499863644305,Good,Bad
568,495.9294241985003,Bad,Bad
518,503.6972003614338,Bad,Bad
479,460.29396490610003,Bad,Bad
625,643.8583571354048,Bad,Bad
715,725.5183229059373,Good,Good
482,565.0907790104048,Bad,Bad
731,738.6541263467344,Good,Good
572,563.4917947205612,Bad,Bad
543,568.0810133854048,Bad,Bad
585,527.4674640565283,Bad,Bad
618,645.2431227604048,Bad,Bad
776,706.5253493229048,Good,Good
566,538.7668415169866,Bad,Bad
690,677.7519118229048,Bad,Bad
604,626.6638131511244,Bad,Bad
614,598.1618167657356,Bad,Bad
504,473.42613944115726,Bad,Bad
484,484.3679489287756,Bad,Bad
687,666.8905836979048,Bad,Bad
816,774.885212604155,Good,Good
506,452.5057523767904,Bad,Bad
486,238.1044301426091,Bad,Bad
625,623.96974772416,Bad,Bad
505,529.7118727604048,Bad,Bad
722,650.9901930729048,Good,Bad
758,729.7816969791548,Good,Good
605,684.9106032291548,Bad,Bad
639,626.3124586979048,Bad,Bad
632,617.2291663932369,Bad,Bad
757,756.8085271868282,Good,Good
549,501.01748275361604,Bad,Bad
689,729.0515640983017,Bad,Good
454,512.6825551426091,Bad,Bad
476,502.2914868954301,Bad,Bad
657,670.9573319642586,Bad,Bad
626,574.9632984765132,Bad,Bad
716,652.7193305816104,Good,Bad
501,527.2528883854048,Bad,Bad
804,779.142048541655,Good,Good
713,651.8222243229048,Good,Bad
832,816.891071979155,Good,Good
480,533.8080641666548,Bad,Bad
798,811.0742548220202,Good,Good
549,494.308605658383,Bad,Bad
821,804.160114947905,Good,Good
568,522.4235828761347,Bad,Bad
524,528.2060133854048,Bad,Bad
573,575.1913649479048,Bad,Bad
457,552.2870680729048,Bad,Bad
813,765.208454791655,Good,Good
829,832.830525104155,Good,Good
676,667.4052321354048,Bad,Bad
386,442.96704238358853,Bad,Bad
631,662.8976763122644,Bad,Bad
549,584.6085588129041,Bad,Bad
515,479.4057171979796,Bad,Bad
649,687.0588971468891,Bad,Bad
527,516.2150258457341,Bad,Bad
525,499.6630238926091,Bad,Bad
741,744.7446399542978,Good,Good
472,483.7216383854049,Bad,Bad
832,883.592732135405,Good,Good
825,839.565876666655,Good,Good
564,487.0321852604049,Bad,Bad
780,762.2590345710885,Good,Good
530,511.8236891666549,Bad,Bad
682,671.9622682810929,Bad,Bad
530,568.3866567051091,Bad,Bad
585,560.8764331088611,Bad,Bad
636,687.1283766666548,Bad,Bad
556,555.5075123322931,Bad,Bad
593,615.4688367646144,Bad,Bad
688,681.9525324236107,Bad,Bad
508,520.9325758854048,Bad,Bad
502,573.0131215488591,Bad,Bad
489,532.6781813541548,Bad,Bad
600,566.6244704166548,Bad,Bad
615,609.1220290104048,Bad,Bad
749,707.2558180729048,Good,Good
487,496.1357008854049,Bad,Bad
627,698.5453688541548,Bad,Bad
821,838.2775696410864,Good,Good
494,501.1003806177999,Bad,Bad
627,614.0971336365099,Bad,Bad
585,575.2329805401195,Bad,Bad
517,547.3329665104048,Bad,Bad
697,653.9426758282384,Bad,Bad
712,722.6880388165464,Good,Good
706,684.4579620749821,Good,Bad
701,707.1166579166548,Good,Good
517,530.2255446354048,Bad,Bad
424,419.08070821732065,Bad,Bad
792,733.0418891090067,Good,Good
594,613.8982782221345,Bad,Bad
482,368.3866774479049,Bad,Bad
553,486.6496400450401,Bad,Bad
513,527.5463454166548,Bad,Bad
833,833.2468053595794,Good,Good
787,841.430134479155,Good,Good
639,728.4432710396089,Bad,Good
672,648.5800368229048,Bad,Bad
499,552.7128285801091,Bad,Bad
513,594.1646136219941,Bad,Bad
803,720.9173055254264,Good,Good
551,489.8861859479796,Bad,Bad
548,533.2704665104048,Bad,Bad
621,648.5247228924491,Bad,Bad
664,624.2450758854048,Bad,Bad
431,483.3153883854049,Bad,Bad
651,644.9420889132526,Bad,Bad
835,953.473856387285,Good,Good
510,562.9188852740951,Bad,Bad
805,734.3163649479048,Good,Good
794,752.4950128923607,Good,Good
783,767.0976078534452,Good,Good
709,705.0496050918744,Good,Good
659,724.3178694846233,Bad,Good
627,674.5202103262923,Bad,Bad
551,587.8109938541548,Bad,Bad
754,683.9093869400804,Good,Bad
702,636.6239821354048,Good,Bad
746,813.8946759838353,Good,Good
376,542.2593225244576,Bad,Bad
623,597.0524946358847,Bad,Bad
565,540.3673346596659,Bad,Bad
509,544.0849196354048,Bad,Bad
828,833.481892291655,Good,Good
552,546.8661696354048,Bad,Bad
631,661.8623972769122,Bad,Bad
485,400.6689221705643,Bad,Bad
517,525.8173415104048,Bad,Bad
551,596.6716813946714,Bad,Bad
507,546.2274977604048,Bad,Bad
799,814.0309763342096,Good,Good
415,442.32248954492707,Bad,Bad
767,765.431654143359,Good,Good
444,393.2025746738591,Bad,Bad
490,478.0595170436581,Bad,Bad
611,623.6703623489335,Bad,Bad
501,346.81418019737606,Bad,Bad
504,528.7807204166548,Bad,Bad
516,536.3827711979048,Bad,Bad
679,686.1928964192286,Bad,Bad
645,672.5653883854048,Bad,Bad
673,679.808354790529,Bad,Bad
537,463.0846055541413,Bad,Bad
540,599.5209547916548,Bad,Bad
618,580.0829797696542,Bad,Bad
643,578.6418862059295,Bad,Bad
814,758.5975942051091,Good,Good
590,610.3313148702515,Bad,Bad
519,533.8730023542296,Bad,Bad
713,740.6230055729048,Good,Good
479,510.4496417676838,Bad,Bad
675,650.4668334421074,Bad,Bad
540,165.6615590488591,Bad,Bad
781,798.3504190649878,Good,Good
796,821.9789814660737,Good,Good
730,740.1766272418855,Good,Good
508,564.9442946354048,Bad,Bad
837,877.5799738298607,Good,Good
552,618.4550368229048,Bad,Bad
732,696.1660676842465,Good,Bad
